cinsiyet;egitimSeviyesi;meslekGrubu;yillikGelir;yasadigiOrtam;arabaVarMi;mulkVarMi;medeniHal
Erkek;Ortaokul;GuvenlikPersoneli;1125000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;SatisPersoneli;2700000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;SatisPersoneli;2700000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;SatisPersoneli;2700000;KendiEvi;Hayir;Evet;Bekar
Kadin;Ortaokul;SatisPersoneli;2700000;KendiEvi;Hayir;Evet;Bekar
Erkek;Lise;Muhasebeci;2700000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;LiseTerk;Muhasebeci;1305000;KendiEvi;Evet;Hayir;Evli
Kadin;LiseTerk;Muhasebeci;1305000;KendiEvi;Evet;Hayir;Evli
Kadin;Ortaokul;TarimIscisi;1575000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1575000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1575000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;TarimIscisi;2700000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;TarimIscisi;2700000;KendiEvi;Evet;Evet;Evli
Erkek;Lise;Yonetici;4050000;KendiEvi;Hayir;Evet;Evli
Erkek;Lise;Yonetici;4050000;KendiEvi;Hayir;Evet;Evli
Erkek;Lise;Yonetici;4050000;KendiEvi;Hayir;Evet;Evli
Erkek;Lise;Yonetici;4050000;KendiEvi;Hayir;Evet;Evli
Erkek;Lise;Yonetici;4050000;KendiEvi;Hayir;Evet;Evli
Erkek;Lise;Yonetici;4050000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Erkek;Ortaokul;Sofor;1125000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TarimIscisi;1350000;KendiEvi;Evet;Evet;Evli
Kadin;Ortaokul;TecrubeliCalisan;2115000;KendiEvi;Hayir;Evet;Evli
Kadin;Ortaokul;TecrubeliCalisan;2115000;KendiEvi;Hayir;Evet;Evli
Erkek;Ortaokul;GuvenlikPersoneli;3600000;KendiEvi;Evet;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
Kadin;Lise;Yonetici;1260000;KendiEvi;Hayir;Evet;Evli
