Cinsiyet;EgitimSeviyesi;MeslekGrubu;YillikGelir;YasadigiOrtam;ArabaVarMi;MulkVarMi;MedeniHal
0;1;4;1125000;1;1;1;1
1;1;10;2700000;1;0;1;0
1;1;10;2700000;1;0;1;0
1;1;10;2700000;1;0;1;0
1;1;10;2700000;1;0;1;0
0;2;7;2700000;1;1;1;1
0;1;13;1350000;1;1;1;1
0;1;13;1350000;1;1;1;1
0;1;13;1350000;1;1;1;1
0;1;13;1350000;1;1;1;1
0;1;13;1350000;1;1;1;1
0;1;13;1350000;1;1;1;1
1;3;7;1305000;1;1;0;1
1;3;7;1305000;1;1;0;1
1;1;13;1575000;1;0;1;1
1;1;13;1575000;1;0;1;1
1;1;13;1575000;1;0;1;1
0;1;13;2700000;1;1;1;1
0;1;13;2700000;1;1;1;1
0;2;17;4050000;1;0;1;1
0;2;17;4050000;1;0;1;1
0;2;17;4050000;1;0;1;1
0;2;17;4050000;1;0;1;1
0;2;17;4050000;1;0;1;1
0;2;17;4050000;1;0;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
0;1;12;1125000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;13;1350000;1;1;1;1
1;1;14;2115000;1;0;1;1
1;1;14;2115000;1;0;1;1
0;1;4;3600000;1;1;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;17;1260000;1;0;1;1
1;2;14;2475000;2;0;1;0
1;2;14;2475000;2;0;1;0
1;2;14;2475000;2;0;1;0
1;1;13;2970000;2;0;1;0
1;1;13;2970000;2;0;1;0
1;1;13;2970000;2;0;1;0
1;1;13;2970000;2;0;1;0
1;1;13;2970000;2;0;1;0
